lat,lon,pm2_5,pm10,no2,o3,timestamp,status,error
51.0,13.6,30,13,10.1,39,2025-07-05T11:00:00+02:00,ok,
51.0,13.61,30,13,10.1,39,2025-07-05T11:00:00+02:00,ok,
51.0,13.62,30,13,10.1,39,2025-07-05T11:00:00+02:00,ok,
51.0,13.63,30,13,10.1,39,2025-07-05T11:00:00+02:00,ok,
51.0,13.64,30,13,10.1,39,2025-07-05T11:00:00+02:00,ok,
51.0,13.65,30,13,10.1,39,2025-07-05T11:00:00+02:00,ok,
51.0,13.66,30,13,10.1,39,2025-07-05T11:00:00+02:00,ok,
51.0,13.67,30,13,10.1,39,2025-07-05T11:00:00+02:00,ok,
51.0,13.68,30,13,10.1,39,2025-07-05T11:00:00+02:00,ok,
51.0,13.69,30,13,10.1,39,2025-07-05T11:00:00+02:00,ok,
51.0,13.7,30,13,10.1,39,2025-07-05T11:00:00+02:00,ok,
51.0,13.71,30,13,10.1,39,2025-07-05T11:00:00+02:00,ok,
51.0,13.72,30,13,10.1,39,2025-07-05T11:00:00+02:00,ok,
51.0,13.73,30,13,10.1,39,2025-07-05T11:00:00+02:00,ok,
51.0,13.74,30,13,10.1,39,2025-07-05T11:00:00+02:00,ok,
51.0,13.75,30,13,10.1,39,2025-07-05T11:00:00+02:00,ok,
51.0,13.76,30,13,10.1,39,2025-07-05T11:00:00+02:00,ok,
51.0,13.77,30,13,10.1,39,2025-07-05T11:00:00+02:00,ok,
51.0,13.78,30,13,10.1,39,2025-07-05T11:00:00+02:00,ok,
51.0,13.79,30,13,10.1,39,2025-07-05T11:00:00+02:00,ok,
51.0,13.8,45,5.59,5.1,43.9,2025-07-05T11:00:00+02:00,ok,; filled_from_OWM
51.0,13.81,45,5.59,5.1,43.9,2025-07-05T11:00:00+02:00,ok,; filled_from_OWM
51.0,13.82,45,5.59,5.1,43.9,2025-07-05T11:00:00+02:00,ok,; filled_from_OWM
51.0,13.83,45,5.59,5.1,43.9,2025-07-05T11:00:00+02:00,ok,; filled_from_OWM
51.0,13.84,45,5.59,5.1,43.9,2025-07-05T11:00:00+02:00,ok,; filled_from_OWM
51.0,13.85,45,5.59,5.1,43.9,2025-07-05T11:00:00+02:00,ok,; filled_from_OWM
51.01,13.6,41,9,2.2,46.3,2025-07-05T11:00:00+02:00,ok,
51.01,13.61,41,9,2.2,46.3,2025-07-05T11:00:00+02:00,ok,
51.01,13.62,30,13,10.1,39,2025-07-05T11:00:00+02:00,ok,
51.01,13.63,30,13,10.1,39,2025-07-05T11:00:00+02:00,ok,
51.01,13.64,30,13,10.1,39,2025-07-05T11:00:00+02:00,ok,
51.01,13.65,30,13,10.1,39,2025-07-05T11:00:00+02:00,ok,
51.01,13.66,30,13,10.1,39,2025-07-05T11:00:00+02:00,ok,
51.01,13.67,30,13,10.1,39,2025-07-05T11:00:00+02:00,ok,
51.01,13.68,30,13,10.1,39,2025-07-05T11:00:00+02:00,ok,
51.01,13.69,30,13,10.1,39,2025-07-05T11:00:00+02:00,ok,
51.01,13.7,30,13,10.1,39,2025-07-05T11:00:00+02:00,ok,
51.01,13.71,30,13,10.1,39,2025-07-05T11:00:00+02:00,ok,
51.01,13.72,30,13,10.1,39,2025-07-05T11:00:00+02:00,ok,
51.01,13.73,30,13,10.1,39,2025-07-05T11:00:00+02:00,ok,
51.01,13.74,30,13,10.1,39,2025-07-05T11:00:00+02:00,ok,
51.01,13.75,30,13,10.1,39,2025-07-05T11:00:00+02:00,ok,
51.01,13.76,30,13,10.1,39,2025-07-05T11:00:00+02:00,ok,
51.01,13.77,30,13,10.1,39,2025-07-05T11:00:00+02:00,ok,
