lat,lon,owm_pm2_5,owm_pm10,owm_no2,owm_o3,owm_co,aqicn_pm2_5,aqicn_pm10,aqicn_no2,aqicn_o3,aqicn_co
51.0,13.55,2.49,2.89,0.98,85.99,108.51,43,10,3.2,33.3,
51.0,13.56,2.49,2.89,0.98,85.99,108.51,43,10,3.2,33.3,
51.0,13.57,2.49,2.89,0.98,85.99,108.51,43,10,3.2,33.3,
51.0,13.58,2.49,2.89,0.98,85.99,108.51,43,10,3.2,33.3,
51.0,13.59,2.49,2.89,0.98,85.99,108.51,43,10,3.2,33.3,
51.0,13.6,2.49,2.89,0.98,85.99,108.51,57,15,14.7,28.5,
51.0,13.61,3.06,3.51,1.16,86.41,110.27,57,15,14.7,28.5,
51.0,13.62,3.06,3.51,1.16,86.41,110.27,57,15,14.7,28.5,
51.0,13.63,3.06,3.51,1.16,86.41,110.27,57,15,14.7,28.5,
51.0,13.64,3.06,3.51,1.16,86.41,110.27,57,15,14.7,28.5,
51.0,13.65,3.06,3.51,1.16,86.41,110.27,57,15,14.7,28.5,
51.01,13.55,3.45,3.95,2.3,77.86,110.64,43,10,3.2,33.3,
51.01,13.56,3.45,3.95,2.3,77.86,110.64,43,10,3.2,33.3,
51.01,13.57,3.45,3.95,2.3,77.86,110.64,43,10,3.2,33.3,
51.01,13.58,3.45,3.95,2.3,77.86,110.64,43,10,3.2,33.3,
51.01,13.59,3.45,3.95,2.3,77.86,110.64,43,10,3.2,33.3,
51.01,13.6,3.45,3.95,2.3,77.86,110.64,43,10,3.2,33.3,
51.01,13.61,3.49,3.98,2.06,81.61,111.43,43,10,3.2,33.3,
51.01,13.62,3.49,3.98,2.06,81.61,111.43,57,15,14.7,28.5,
51.01,13.63,3.49,3.98,2.06,81.61,111.43,57,15,14.7,28.5,
51.01,13.64,3.49,3.98,2.06,81.61,111.43,57,15,14.7,28.5,
51.01,13.65,3.49,3.98,2.06,81.61,111.43,57,15,14.7,28.5,
51.02,13.55,3.45,3.95,2.3,77.86,110.64,43,10,3.2,33.3,
51.02,13.56,3.45,3.95,2.3,77.86,110.64,43,10,3.2,33.3,
51.02,13.57,3.45,3.95,2.3,77.86,110.64,43,10,3.2,33.3,
51.02,13.58,3.45,3.95,2.3,77.86,110.64,43,10,3.2,33.3,
51.02,13.59,3.45,3.95,2.3,77.86,110.64,43,10,3.2,33.3,
51.02,13.6,3.45,3.95,2.3,77.86,110.64,43,10,3.2,33.3,
51.02,13.61,3.49,3.98,2.06,81.61,111.43,43,10,3.2,33.3,
51.02,13.62,3.49,3.98,2.06,81.61,111.43,43,10,3.2,33.3,
51.02,13.63,3.49,3.98,2.06,81.61,111.43,57,15,14.7,28.5,
51.02,13.64,3.49,3.98,2.06,81.61,111.43,57,15,14.7,28.5,
51.02,13.65,3.49,3.98,2.06,81.61,111.43,57,15,14.7,28.5,
51.03,13.55,3.45,3.95,2.3,77.86,110.64,43,10,3.2,33.3,
51.03,13.56,3.45,3.95,2.3,77.86,110.64,43,10,3.2,33.3,
51.03,13.57,3.45,3.95,2.3,77.86,110.64,43,10,3.2,33.3,
51.03,13.58,3.45,3.95,2.3,77.86,110.64,43,10,3.2,33.3,
51.03,13.59,3.45,3.95,2.3,77.86,110.64,43,10,3.2,33.3,
51.03,13.6,3.45,3.95,2.3,77.86,110.64,43,10,3.2,33.3,
51.03,13.61,3.49,3.98,2.06,81.61,111.43,43,10,3.2,33.3,
51.03,13.62,3.49,3.98,2.06,81.61,111.43,43,10,3.2,33.3,
51.03,13.63,3.49,3.98,2.06,81.61,111.43,43,10,3.2,33.3,
51.03,13.64,3.49,3.98,2.06,81.61,111.43,57,15,14.7,28.5,
51.03,13.65,3.49,3.98,2.06,81.61,111.43,57,15,14.7,28.5,
51.04,13.55,3.45,3.95,2.3,77.86,110.64,43,10,3.2,33.3,
51.04,13.56,3.45,3.95,2.3,77.86,110.64,43,10,3.2,33.3,
51.04,13.57,3.45,3.95,2.3,77.86,110.64,43,10,3.2,33.3,
51.04,13.58,3.45,3.95,2.3,77.86,110.64,43,10,3.2,33.3,
51.04,13.59,3.45,3.95,2.3,77.86,110.64,43,10,3.2,33.3,
51.04,13.6,3.45,3.95,2.3,77.86,110.64,43,10,3.2,33.3,
51.04,13.61,3.49,3.98,2.06,81.61,111.43,43,10,3.2,33.3,
51.04,13.62,3.49,3.98,2.06,81.61,111.43,43,10,3.2,33.3,
51.04,13.63,3.49,3.98,2.06,81.61,111.43,43,10,3.2,33.3,
51.04,13.64,3.49,3.98,2.06,81.61,111.43,43,10,3.2,33.3,
51.04,13.65,3.49,3.98,2.06,81.61,111.43,43,10,3.2,33.3,
51.05,13.55,3.45,3.95,2.3,77.86,110.64,43,10,3.2,33.3,
51.05,13.56,3.45,3.95,2.3,77.86,110.64,43,10,3.2,33.3,
51.05,13.57,3.45,3.95,2.3,77.86,110.64,43,10,3.2,33.3,
51.05,13.58,3.45,3.95,2.3,77.86,110.64,43,10,3.2,33.3,
51.05,13.59,3.45,3.95,2.3,77.86,110.64,43,10,3.2,33.3,
51.05,13.6,3.45,3.95,2.3,77.86,110.64,43,10,3.2,33.3,
51.05,13.61,3.49,3.98,2.06,81.61,111.43,43,10,3.2,33.3,
51.05,13.62,3.49,3.98,2.06,81.61,111.43,43,10,3.2,33.3,
51.05,13.63,3.49,3.98,2.06,81.61,111.43,43,10,3.2,33.3,
51.05,13.64,3.49,3.98,2.06,81.61,111.43,43,10,3.2,33.3,
51.05,13.65,3.49,3.98,2.06,81.61,111.43,43,10,3.2,33.3,
